epoch,train_time,eval_time,inference_time_ms,throughput,train_loss,train_mse,test_mse
1,34.553720,0.592673,0.323259,3093.491101,0.105429,0.072444,0.078930
2,1.957350,0.350206,0.217361,4600.642652,0.071977,0.070677,0.076125
3,1.493715,0.360247,0.272583,3668.609883,0.069915,0.068487,0.073924
4,1.497478,0.732237,0.234602,4262.546205,0.067284,0.065266,0.070653
5,1.474887,0.367780,0.273406,3657.560864,0.064632,0.063020,0.068365
6,1.505631,0.355469,0.323095,3095.061925,0.062610,0.061420,0.066557
7,1.869302,0.342490,0.228861,4369.465628,0.060953,0.059913,0.065001
8,1.484662,0.372786,0.271409,3684.471106,0.059625,0.058783,0.063896
9,1.500852,0.369059,0.271527,3682.880934,0.058566,0.057846,0.063019
10,1.815841,0.369225,0.268152,3729.234283,0.057661,0.057047,0.062327
